ID,Nombre,Descripcion,Categoria,Stock_Total,Estado,Precio_Venta,SKU,Codigo_Barras
2ee70938-2e4b-4364-8a79-c57c622c3201,enchufe 110,,Ferretería y Electricidad,44,,"1,6",QC-1779403319250,2450123456228
2f37f644-2607-4b78-ab0f-722fb79e8cf2,crema de peinar hugme,,Cuidado Personal,4,,"3,5",QC-1779379121831,6956088518309
2f5f44b8-c226-4fd4-a16d-655f93ccd66a,cepillo reana ,,Cosmética y Belleza,1,,4,QC-1779287632923,6970019551487
3080224b-1aee-425e-b714-66f672bf9ded,champu alive ,,Cuidado Personal,5,,"3,9",QC-1779378920193,7597257003135
30b1e810-6229-4ac6-8486-8c8d3229e197,corta cuticula berenice,,Cosmética y Belleza,1,,3,QC-1779288379565,4557152121771
31044c2b-cc5f-4df4-892f-4727c16c8ae0,Crema alident ,,Cuidado Personal,6,,"1,95",QC-1779373637514,7597257001667
314b3165-0753-4421-9b6e-10ff36e48a8f,palillos de diente ,,Desechables y Papelería del Hogar,21,,"0,8",QC-1779376621779,6936805420580
353c77f4-534d-451c-b1d0-25b49e9fb7f9,cinta quirurgica ,,Ferretería y Electricidad,2,,"1,5",QC-1779401122830,6920231001611
39b8c1cf-f7b7-4be9-bcf3-a688efb4209b,crema peinar drene 240 ml,,Cuidado Personal,1,,"6,5",QC-1779378709438,7590005008581
3d9c0c44-5906-4280-a4bf-5d98812df908,champu nutribela15 400 ml,,Cuidado Personal,3,,10,QC-1779378755233,7702354956226
3db9f289-c98a-4606-b9a5-e3a36732b425,cinta plastica ,,Ferretería y Electricidad,3,,"1,8",QC-1779403142310,6928322003070
3e160e82-6eb7-4e46-9304-d027ed881dda,molde cuadrado extre 27 cm,,Cocina y Menaje,6,,"2,5",QC-1779378247244,6911110005646
3e65a975-0d9f-4ca8-817d-f53dab47648c,mata chiripas,,Limpieza y Cuidado del Hogar,32,,"0,5",QC-1779401795803,6972976000633
3faaf92c-33cb-444b-b673-037a5f42a474,Toallas ellas nocturnas doble,,Cuidado Personal,4,,"3,5",QC-1779375192895,7702108850794
40c87575-1b13-472b-8fb4-985e6e909d62,Papel Euro 215 Hojas,,Desechables y Papelería del Hogar,52,,1,QC-1779124178359,7597597010596
40e208a8-a4e1-4a1c-86d3-486777e78ea4,soporte telefonico ,,Ferretería y Electricidad,10,,4,QC-1779288679277,6904800003824
413d8bb7-3d2d-4ed3-b7b1-5f58b4a2afdb,vaselina windone pure,,Cuidado Personal,6,,2,QC-1779382443671,6958552150015
42189e10-8f81-4855-b784-526dd0697548,candado pequeno,,Ferretería y Electricidad,4,,"1,8",QC-1779403803918,7590654678319
423bc2f7-438b-4abc-a57c-0ace0839835a,Talco perfumado Barber Shop,,Cuidado Personal,2,,5,QC-1779376146938,7709345344475
43855290-319a-47b0-a470-735b88a6a50a,velas blanca,,Limpieza y Cuidado del Hogar,50,,"0,3",QC-1779402138368,6911444791116
44684e6b-4ef9-4724-8c98-15d954634957,desodorante sobre balance,,Cuidado Personal,23,,"0,8",QC-1779382142918,7702045807677
44f69827-b1d2-4a62-aa6a-920d11bc6074,Toallas hugme 290mm,,Cuidado Personal,12,,"1,4",QC-1779374966169,7592726009304
4565c377-d453-46a9-a5e3-c5eb037530fa,crema de zapato cherry negro,,Limpieza y Cuidado del Hogar,10,,1,QC-1779404203534,6932620131137
45892c0d-2a21-4ed8-a039-28670913dc62,pilas AA,,Ferretería y Electricidad,25,,"1,3",QC-1779403506653,5000394126091
47897cc0-84f6-4eb5-8c11-04229d9825bd,mecha 8mm,,Ferretería y Electricidad,5,,"1,5",QC-1779404039895,6941807339815
479bfc9b-7953-460b-bb81-12b187c77703,hisopo bernice ,,Cuidado Personal,6,,1,QC-1779376684669,6970834750010
4ae69adb-7fdf-4342-bb70-d9d52fe582de,reflector de socate de 100 w,,Ferretería y Electricidad,2,,"3,5",QC-1779404605628,4357995799955
4ca20ae5-829a-488f-8433-24d5ca0932dd,cargador infinix completo,,Ferretería y Electricidad,3,,"4,5",QC-1779287073978,8802504101076
50560510-49c5-4048-91d4-37780b0a01c8,Desodorante pomo lady speed stick caballero ,,Cuidado Personal,4,,"2,5",QC-1779374403075,7501033204920
5126a3f5-0ef7-4fba-9d21-34284ad08d83,cuchillo 5 cm,,Cocina y Menaje,5,,"0,8",QC-1779403924935,CUCHILLOM5
52b9e7e3-c6d8-45a3-a9c3-adb11a428d8a,agua oxigenada 40 vol rolda,,Salud y Farmacia,2,,"3,8",QC-1779380152308,7592871000584
53ac48c5-0e07-442d-b079-07de0156f04f,borocanfor,,Salud y Farmacia,6,,"2,2",QC-1779400202307,5462397415327
54a17b3f-7fea-4526-b180-90b28689c757,silicon alta temperatura,,Ferretería y Electricidad,1,,3,QC-1779402974299,6901234568899
5807d70a-2594-4b2e-a58a-c2796bef678a,tinte lovia pequeno,,Cuidado Personal,32,,1,QC-1779380613478,6921748100200
583f6c7f-f1c0-46c2-a0c8-c54f8cf8c686,bambury servilletas,,Desechables y Papelería del Hogar,2,,2,QC-1779377095922,6972329479727
59264b57-d484-4bd4-84b9-87c1f1fc7f6b,crema corporal every night 200 ml,,Cuidado Personal,2,,6,QC-1779379004253,7590005162108
59b78383-ba30-4529-8fbe-cf4de5c0c1e2,Shampoo Baby Davey 200g,,Cuidado Personal,3,,"2,5",QC-1779375510113,6921199199198
59d3e058-8f01-45b4-b088-a7025e79a059,paletas de madera ,,Desechables y Papelería del Hogar,11,,"0,8",QC-1779286872725,6934802011626
5aa81964-5368-4660-abba-8a8fd126ab38,crema peinar davey,,Cuidado Personal,1,,"3,5",QC-1779379323338,6921199126019
5b30c006-43cc-454a-ba44-440ae1a29ca8,vaselina vessy 100g,,Cuidado Personal,1,,"2,8",SKU-1779401387857-0,6971198700765
5d399fae-c220-4d08-a240-30ef096151d1,pilas AAA,,Ferretería y Electricidad,15,,"1,3",QC-1779403689823,5000394127296
5d8e06af-a079-4aba-bbe6-a6fce32db9d9,exfoliante care style,,Cuidado Personal,7,,7,QC-1779382755190,659525178383
5d907143-e7f9-4da0-ac76-7281a51b7ad2,champiojo,,Cuidado Personal,12,,"1,2",QC-1779381460650,7707210530060
5de5f577-6b11-4227-9a20-e48704226ec5,menthus 30g,,Cuidado Personal,5,,1,QC-1779377556247,7709696714859
5f4f123d-9e5e-4e97-bdf5-dc06cae71eb4,hilo dental colgate ,,Cuidado Personal,2,,"4,5",QC-1779372116812,7891024183083
5f796a13-9456-4e78-b7a4-db656623324b,cepillo dental kids niño,,Cuidado Personal,10,,"1,8",QC-1779374047338,7509546074122
60290d33-74d8-4534-9e84-5521ea309eca,globos carnaval ,,Regalos y Fiestas,11,,1,QC-1779372665824,751605323215
605f1d53-496a-4dfd-aef3-b6171b0bb3ce,silicon davey,,Ferretería y Electricidad,2,,5,QC-1779381289308,6921199136667
62cd37f5-f554-4081-a53e-f8bff74ef0f7,teipe electrico berenice,,Ferretería y Electricidad,10,,1,QC-1779402913495,9552808209228
654f09df-5f6e-4bbd-af93-555b01311bf6,mecha de 8mm,,Ferretería y Electricidad,2,,"1,5",SKU-1779403962902-0,
66e90645-0101-4481-8a45-ee82d76d0f12,Colgate blancura 75ml,,Cuidado Personal,3,,"4,9",QC-1779373513009,7509546056098
680fc964-4e4c-43ab-8d84-f5a28a9052c0,encendedor berenice,,Ferretería y Electricidad,17,,"1,4",QC-1779402343307,2589963309125
68898587-c519-49a6-8282-291c434c1b78,tratamiento capilar nutribela,,Cuidado Personal,6,,"9,5",QC-1779380928391,7702354953706
689dae50-f9cd-4436-8ebf-e0a6de96cc7f,pega rata carton verde,,Limpieza y Cuidado del Hogar,3,,"1,8",QC-1779402021822,6953937188522
68d22ec7-49e0-4b90-a8b1-eea674a69669,tirro blanco fino 2.4cmx30,,Ferretería y Electricidad,9,,"1,4",QC-1779403094805,6945462018702
69f86a40-ddf9-4f20-b58a-f469830bbdc7,toallitas okis ,,Cuidado Personal,4,,"0,9",QC-1779377149826,7596273000982
6a611064-7190-4949-bc60-d0361a939ed6,mecha de madera 6mm ,,Ferretería y Electricidad,1,,"1,5",QC-1779404416472,5896478151499
6ae30eb6-ed64-4ef7-b459-8c7e4f96e2cd,cable auxiliar,,Ferretería y Electricidad,5,,"2,5",QC-1779288257798,SZ57
6dd751ac-908b-4efd-bd52-f127cc497e0d,champu drene ,,Cuidado Personal,4,,8,QC-1779378545350,7590005008246
6e5ff975-87d9-4363-9f2d-4c8a00ceabe1,mause de pc ,,Ferretería y Electricidad,0,,"6,5",QC-1779287859711,TK18'2
70905d5b-2a52-4cf4-9aa1-085eed3ad137,disco de corte concreto,,Ferretería y Electricidad,2,,6,QC-1779373059174,7453010093839
74caca58-0f88-414d-a211-042ade8ea44c,fijador para el cabello every night,,Cuidado Personal,5,,"3,5",QC-1779381071456,7590005169107
754e2ab3-5b66-4d3d-9825-69235815b043,crespo inteligente ,,Cuidado Personal,26,,"0,8",QC-1779381879834,7707279840988
787c6ed5-ddcf-476d-9776-47ec6d609cf8,tinte champu vojo,,Cuidado Personal,4,,1,QC-1779379653422,5060669800538
78b72509-52b4-4e9b-96fa-a1796cef8ad1,disco de diamante mojado ,,Ferretería y Electricidad,2,,6,QC-1779373205800,6941913617616
792388dc-ea27-449b-b3d3-3dac3ef628bb,cepillo dental colgate ,,Cuidado Personal,4,,2,QC-1779374104428,6910021007206
7953cffd-ca1a-4b6e-a16e-562d1c62f29a,agua oxigenada lovia 120 ml,,Salud y Farmacia,5,,"2,5",QC-1779380095760,7592726006686
7b31037e-fe15-4474-9b89-d87f1a48e186,reflector de cable 50w ,,Ferretería y Electricidad,2,,"4,5",QC-1779404466741,6710026412315
7b4d74a3-be49-422f-8717-b5f8985551ba,cable tipo C,,Ferretería y Electricidad,9,,2,QC-1779286788424,8945637655426
7c813e9a-7c52-4fce-b3ba-91b787a18d38,Colgate menta ,,Cuidado Personal,10,,"2,5",QC-1779373437860,7891024134702
7e5367b4-3981-4353-a775-098851b2e144,cinta doble cara,,Ferretería y Electricidad,4,,"1,5",QC-1779403171216,6905415459860
7f283651-7db4-427b-a10c-3b3ccece9bc8,crema corporal davey 400 ml,,Cuidado Personal,2,,5,QC-1779400593121,6921199116737
822bb16e-9341-4107-9716-61dc9840b3d2,disco desbaste de acero inoxidable ,,Ferretería y Electricidad,4,,6,QC-1779372907430,7453038469463
8291f2eb-f1e2-411e-9325-95123de71a75,motas excellet,,Cuidado Personal,2,,"3,9",QC-1779377766591,6976982880012
851e9cb5-dc3c-4fd6-97aa-c06241f18262,crema de manos y cuerpos almaee,,Cuidado Personal,2,,"2,5",SKU-1779400766452-0,0671875661551
8664da81-673d-4e21-96d3-3654318d8e53,ampollas capilares ,,Ferretería y Electricidad,2,,"2,7",QC-1779381495728,7592943005189
8753311a-3f26-4d63-a7bf-09842141a69b,desodorante bolita every night,,Cuidado Personal,1,,"3,2",QC-1779382199538,7590005162832
8a97576f-75c9-4764-aea9-2a16d783ea04,gas de encendedor ,,Ferretería y Electricidad,17,,1,QC-1779401681613,5610922390117
8b03aecc-f73f-491a-9a20-04774b6fa02c,Jabon palmolive 85g ,,Cuidado Personal,6,,"1,8",QC-1779373970717,7891024034767
8b9056a6-89c3-417e-9d1f-0d82e0a27a91,aceite davey,,Cuidado Personal,4,,"4,5",QC-1779381397022,6921199136032
8c027adf-113a-4c4d-860f-67bd376666ac,Colonia para niñas Davey 200ml ,,Cuidado Personal,2,,"3,5",QC-1779375939611,6921199102754
8ceeace1-45a9-424d-9a34-7c752eba6aef,crema de mano ,,Cuidado Personal,8,,3,QC-1779379214905,6921199121908
8d72ccab-b178-448d-b1fc-5462490a5434,llave de agua ,,Ferretería y Electricidad,5,,2,QC-1779403222309,7786661901513
8f8daeaf-4f1d-4efb-bb90-acf367dbae75,curitas 10x ,,Salud y Farmacia,5,,"0,2",QC-1779377672828,6977551240022
908be964-ebae-41fb-8ef5-82e3cae59b42,Talco Davey para pies 100g,,Cuidado Personal,1,,"3,5",QC-1779376218015,6921199105175
925f75fa-7e64-4263-8d0d-38062dcb7529,Colonia niño Davey ml,,Cuidado Personal,4,,"3,5",QC-1779375277219,6921199102747
93dd5a37-aee5-404e-8e53-5a8cca97a6f3,socate negro de goma,,Ferretería y Electricidad,17,,"0,8",QC-1779404268119,8853564652725
94afbed9-1647-4362-9d6f-77c7dc02b750,agua oxigenada heridas,,Salud y Farmacia,2,,"3,5",SKU-1779400087014-0,7593255000114
953af750-a800-4bc1-af3b-606bb8bffb59,perservativos durpemos,,Cuidado Personal,6,,"0,8",QC-1779377440065,6972480970132
96a57d2a-51a3-4d1c-9987-df9121e5ab73,Colgate triple accion 60ml ,,Cuidado Personal,33,,3,QC-1779373363619,7702010111501
98c93c1e-9cd8-40b5-8066-b8a7f240dde3,Hilo de cocer ,,Ferretería y Electricidad,50,,"0,3",QC-1779376551728,HILO12
9aedf701-d3d6-4f27-9d61-d90d9030c8bc,hoja de cegueta,,Ferretería y Electricidad,1,,2,SKU-1779403695907-0,
9ba28d5c-9763-4776-8f34-ae2ad98c1319,rapid blue 28 g polvo decolorante azul,,Cosmética y Belleza,5,,"2,9",QC-1779380332817,7595320000456
9c3ef514-b13a-4fa0-81fc-1ee6d943ec32,pastilla pato ,,Limpieza y Cuidado del Hogar,2,,"4,5",QC-1779372391810,7501032935818
9d016e85-c4a8-4246-8019-4e927a5ae388,champu sobre savital ,,Cuidado Personal,17,,"1,2",QC-1779381641334,7702006653800
a0b16349-6c3d-4fc7-9d98-bf62d8ab0e86,toallas humedas baby finger,,Cuidado Personal,5,,2,QC-1779377046965,7597597003024
a2098cdc-d706-4f51-a115-c1ea301d12d2,recolector de orina y eces,,Salud y Farmacia,17,,"0,8",QC-1779401019910,7786962109298
a4eb7127-d267-4bde-91b2-903945c088a5,Jabon protex 75 g,,Cuidado Personal,12,,"1,6",QC-1779374285308,7501035912410
a5d194d8-f242-4c85-aa27-52a3b22bec47,herbal beauty ,,Cosmética y Belleza,2,,"6,5",QC-1779378511413,7707594901173
a7d0bc24-8e84-4f1c-819f-0da9a39d68d1,gel para el cabello 250g ,,Cuidado Personal,3,,"3,9",QC-1779380877995,7709518580280
a813c78e-f478-43fb-a993-c6937f6db384,bandeja aluminio ,,Cocina y Menaje,5,,"5,5",QC-1779378347914,LY976
a8393413-0c58-4e42-ba19-b73f2817b032,parcho de bicicleta,,Ferretería y Electricidad,6,,"1,8",QC-1779402616826,6932156464839
a8a92afc-195b-4f88-9b13-4e53e81db80b,Desodorante pomo lady speed stick dama ,,Cuidado Personal,7,,"2,5",QC-1779374356273,7702010972287
a9f451a7-85b4-49fd-8b76-385490ff1de4,Crema alident pequeña 50g,,Cuidado Personal,8,,"1,1",QC-1779373837597,7597597005622
ab308c41-c9a1-4730-90d4-1d962fda8e11,acondicionador drene 370 ml,,Cuidado Personal,1,,"7,5",QC-1779378592471,7590005008451
abb119fd-edef-46ec-857a-bb5a526122f2,desodorante sobre lady speed stick dama,,Cuidado Personal,391,,"0,8",QC-1779382322159,7509546657882
abf843e0-b0b7-4462-9324-cb4e0e1c396b,teipe extre ,,Ferretería y Electricidad,12,,1,QC-1779402946012,7505052060789
ac4c220a-516f-48d9-b1bc-edead61e8962,baygon verde,,Limpieza y Cuidado del Hogar,2,,"8,5",QC-1779401709944,7591005004399
ace5bfcb-dd95-4499-a646-8e5b8d87dcfe,champu sobre nutribella,,Cuidado Personal,7,,1,QC-1779381674242,7702354956318
b0f02aa4-3e11-40b0-a3f2-d6c50e7be8e9,algodon 25g algobap,,Salud y Farmacia,2,,"1,8",QC-1779377841586,7593255000152
b102a9ec-8e55-4f44-8f38-5cb45d57df8b,pega rata roja ,,Limpieza y Cuidado del Hogar,5,,2,QC-1779401834906,7786660114167
b29d01d5-1434-4be3-9d85-a9da9716e68d,pantene mascarrilla sobre ,,Cuidado Personal,12,,"1,2",QC-1779381746231,7500435258975
b2e7e74d-043c-482a-b860-8e7eb14a4cd4,tinte drene color,,Cuidado Personal,24,,"3,5",SKU-1779401285457-0,7590005113988
b5341d53-e67c-4536-adba-8324a50d5a14,Enjuague bocal,,Cuidado Personal,2,,"6,8",QC-1779373879570,7891024136096
bbb7cacc-7b99-49ff-b70e-fe0f4052e17c,pastilla pato limpiadora ,,Limpieza y Cuidado del Hogar,2,,"2,2",QC-1779372228584,7591005545021
bce382a0-2ac3-4963-8a91-22e6589694ef,crema de zapato cherry marron,,Limpieza y Cuidado del Hogar,16,,1,SKU-1779404124705-0,
be0a3167-776d-4ee2-beb8-9fe3e807470a,Toallas ellas nocturnas doble,,Cuidado Personal,4,,"3,5",QC-1779375192897,7702108850794
c0c00cef-ff94-4c3c-ab0f-a1f778701c5e,alicate bernice ,,Ferretería y Electricidad,3,,5,QC-1779373116878,6958666668888
c2b8e2b7-e419-4768-9aa2-2bf4f7a604e8,locion corporal alive ,,Cuidado Personal,3,,6,QC-1779379801286,7597597005875
c2e28af7-194a-4381-9b20-0059438b8c87,aceite 3 en 1 extre,,Ferretería y Electricidad,3,,3,QC-1779404066758,801654146461
c317ace1-7709-483a-b9ca-7d4633ca9649,peine nina ,,Cosmética y Belleza,2,,"2,8",QC-1779287118971,6976818320507
c53d81d9-4ecb-4a03-a4a2-fc41a177b6b7,laca davey,,Cuidado Personal,3,,"3,5",QC-1779381252890,6921199128365
c54103ae-2ad9-4747-99b5-a7820b53a212,guantes de nitrilo ,,Salud y Farmacia,110,,"0,2",QC-1779379369563,6974798520092
c5932d60-e128-4143-849d-4621df475817,Cautin de estaño,,Ferretería y Electricidad,3,,3,QC-1779373156077,8848253214537
c648d706-eb31-4aed-834c-a5893c7e2c07,Axion en pasta 235g,,Limpieza y Cuidado del Hogar,4,,2,QC-1779374200717,7509546694566
c7242864-cada-4546-ba52-e34f297aa6f1,tinte magic-lady ,,Cuidado Personal,17,,"3,8",QC-1779380798172,6940103990072
ca0212f7-88f0-44e2-82cc-7538a48fa619,manilla de puerta,,Ferretería y Electricidad,5,,"2,5",QC-1779401957789,6941398100207
cb24c60a-7f46-4ac8-9f58-1d69ffd59d72,desodorante bolita every night men,,Cuidado Personal,1,,"3,2",QC-1779382686354,7590005168834
cb6c640b-b93c-4c1c-ac8a-edc1b0d04440,Toallas hugme 320 mm,,Cuidado Personal,5,,2,QC-1779374619033,7592726001278
cb6f63b3-f78b-49eb-87c8-0d0ec3752a84, toma corriente sencillo,,Ferretería y Electricidad,8,,"2,5",QC-1779402700700,6920241130028
cb8e91e6-7dc6-48d3-82ad-aafe6faf6d2a,toma corriente moderno,,Ferretería y Electricidad,5,,3,QC-1779402578909,4557152122495
cd1a064e-0df1-47ed-a981-4f951a1a47ec,tapa de toma corriente 110,,Ferretería y Electricidad,41,,"0,9",SKU-1779402707799-0,
cd2b7efa-ba01-4a07-a731-42d0131af8dd,reflector de cale de 50 w,,Ferretería y Electricidad,5,,"2,5",QC-1779404385023,4594951999323
cd2f8090-f4d6-4bf2-868c-82a0f1f31f0c,crema de peinar every night,,Cuidado Personal,1,,6,QC-1779379426918,7590005164720
d008d9db-bb59-43e6-b04e-5cc9527a212a,toallistas desmaquillante ,,Cuidado Personal,4,,"2,5",QC-1779382362725,7591061640241
d0b5b5db-ba38-4489-911b-d7acb43e0214,tirraz,,Ferretería y Electricidad,6,,"1,9",QC-1779403623188,7456987522043
d215685a-3ea0-4601-ade3-bba3b7ee5746,disco de laminas ,,Ferretería y Electricidad,2,,5,QC-1779372984588,6941556247188
d2c6b9a0-5343-48cb-978e-58dc075734bd,champu oliva 500 ml,,Cuidado Personal,1,,5,QC-1779378960924,6971594738362
d40ce5e6-97e8-4447-ad9d-27aef5cbad0f,papel aluminio 15 mts,,Cocina y Menaje,2,,"4,5",QC-1779404103276,7592726008116
d654ade4-8358-40cc-9076-eb3de459af61,cargador completo tipo c tecno,,Ferretería y Electricidad,2,,"4,5",QC-1779286965941,8802504101083
d6c8015b-7f50-4f58-b74b-34df0ba84240,biberon para bebe 320 ml ,,Salud y Farmacia,5,,"3,9",QC-1779376733265,5896337098118
d6fb40ad-a568-4c4c-8aac-a52dc3da1cec,Toallas hugme 245mm,,Cuidado Personal,8,,"1,4",QC-1779375070503,7592726009311
d8caca96-2dbb-4350-a5b5-915e35952e42,desodorante sobre speed stick,,Cuidado Personal,13,,"0,8",QC-1779382095198,7501033204562
d9a7b61d-afc6-44c2-8708-09cdc6f696d1,toallas humedas bumble,,Cuidado Personal,3,,"2,8",QC-1779377200695,8680734005605
d9f7e56f-f44c-4bf2-bcb8-428b0cda298f,globos apolo,,Regalos y Fiestas,14,,3,QC-1779372743539,7952315233044
db72b37b-136b-4951-bc7d-75a7d1aac260,molde torta ,,Cocina y Menaje,6,,"2,8",QC-1779378452812,6917091110058
dc28e46d-9395-4c8a-9c47-273ac7dc33a1,agua oxigenada 10 vol,,Salud y Farmacia,5,,5,QC-1779379695937,7593723001438
dd808830-aa8c-4803-b2d8-bb5d646a54bd,mascarrilla davey 200g,,Cuidado Personal,5,,"3,5",QC-1779379550933,6921199108268
dfb5a2d5-7838-4f3a-89ce-b873aa6e5de4,pintura en spray,,Ferretería y Electricidad,2,,5,QC-1779403563378,7207961465838
e01f7b37-5dd0-4168-861d-00191d5d8d6b,mentol vessy 50g,,Salud y Farmacia,3,,1,QC-1779377585062,7832321362467
e04c5eb1-edb1-4c7a-9f29-c613830ac2fb,cera para cabello davey ,,Cuidado Personal,3,,"2,9",QC-1779380977412,6921199128389
e1df1b98-c01e-4d80-8892-b35ce322d94a,cargador samsung,,Ferretería y Electricidad,1,,5,QC-1779288003861,6971083496254
e4fb9c78-688c-4a95-9fde-0151c638e006,pilas de reloj,,Ferretería y Electricidad,10,,"0,5",QC-1779377729990,6970905250043
eb560964-9806-45ac-8524-ef5f4bb083bd,globos largos,,Regalos y Fiestas,4,,3,QC-1779377960082,6901294171558
ebec5305-3dcd-47c3-be0c-9fdade184627,porta telefono de motocicleta ,,Ferretería y Electricidad,1,,6,QC-1779288141309,7299998250556
ebf73900-5b6a-4417-a884-cc1ca33496bb,cuchillo 8 cm,,Cocina y Menaje,3,,"1,5",QC-1779403870931,6912340750085
ebfb7d17-1365-450c-a853-c3e13397fe97,usb 2.0 wireles ,,Ferretería y Electricidad,2,,8,QC-1779372612405,8699258561108
edc8bbbb-50b9-4712-bb7d-f99e44b3393d,alcohol spray 120 ml,,Salud y Farmacia,5,,"1,6",QC-1779400668015,7593255001470
edcba321-b445-4bc1-a3ec-29eeaba384a9,novex embelleze,,Cuidado Personal,3,,2,QC-1779381182925,7896013509806
ee3a8c7e-3844-4e0b-a1c4-4b0be6404df7,aufifonos de cable xq-102,,Ferretería y Electricidad,9,,"2,5",QC-1779287937255,8421799205148
f18850d3-6b37-4625-a6ea-908510507550,molde extre 32 cm,,Cocina y Menaje,5,,"3,5",QC-1779378188973,6953087510334
f3b74f51-2c16-4b2b-9c19-3ee08c24c9e9,gazas algobap,,Salud y Farmacia,43,,"0,3",QC-1779377991308,17593255000401
f48d5715-b3a2-4eb6-8297-a00c01b274be,cable tecno,,Ferretería y Electricidad,11,,"2,5",QC-1779288332897,4895180718274
f88c1df6-99ee-4058-af1e-ffd8bfedf091,Toallas diarias nosotras ,,Cuidado Personal,16,,"1,2",QC-1779374813597,7702027434020
f9d64efd-fcbc-4aa3-a9a9-f38ea2649643,pega loka verde,,Limpieza y Cuidado del Hogar,3,,1,QC-1779401873777,7708416000210
fafb0c88-ab63-4870-985e-f70b2080c8a7,tinte champu lovia sin amoniaco,,Cuidado Personal,10,,"1,1",QC-1779380251092,6921748310029
